,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
357,"Torrance, California, United States",Founder & CEO at WeLaunch Marketing,Manager of Operations at Crezone Enterprise,"University of California, Riverside",Neurobiology and Neurosciences,"University of California, Riverside","(33.8358492, -118.3406288)",California,Los Angeles,Torrance,6037
358,"Washington,  of Columbia, United States",Co-Founder at Shop Smart INC,Program Assistant at The National Academies,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(38.8950368, -77.0365427)",District of Columbia,,Washington,
359,"Orange County, California, United States",Vice President Finance at Oventus Medical Ltd,Chief Financial Officer at Signature Analytics,2003–2005,Finance,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
360,Los Angeles  ,CEO at Monarch Landscape Companies,"Vice President, Mountain and Northeast Regions at ValleyCrest Landscape Maintenance",1999–2001,,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
361,"Walnut Creek, California, United States",Chief Executive Officer at OnQuality Pharmaceuticals Ltd.,"Chief Operating Officer at Tolero Pharmaceuticals, Inc. - Wholly Owned Subsidiary of Sumitomo Dainippon Pharmaceuticals","University of California, Berkeley, Haas School of Business",Toxicology,"University of California, Riverside","(37.9020731, -122.0618702)",California,Contra Costa,,6013
362,"Ozark, Missouri, United States",Chief Executive Officer at Killian Construction Co.,Executive Vice President at Killian Construction Co.,"University of California, Riverside",,"University of California, Riverside","(36.6467816, -92.4575198)",Missouri,Ozark,,29153
363,"San Diego, California, United States",CEO at Fluid Sound,,InfoComm,Certified Technology Specialist - Design,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
364,"São Paulo, São Paulo, Brazil",CEO TOTVS LARGE ENTERPRISE at TOTVS,Business Mentor at Endeavor Brasil,"University of California, Riverside","Marketing/Marketing Management, General","University of California, Riverside","(-23.5506507, -46.6333824)",São Paulo,Região Metropolitana de São,São Paulo,
365,"San Bernardino, California, United States","Vice President Marketing and Facilities at Baker's Burgers, Inc.","Vice President Operations at Baker's Burgers, Inc.",Cal State San Bernardino,"Business, Executive Concentration","University of California, Riverside","(34.8253019, -116.0833144)",California,San Bernardino,,6071
366,"Garden Grove, California, United States",President/CEO at Hycor Biomedical,Chief Operating Officer at Beyond Diagnostics,1997–2001,Biomedical Sciences,"University of California, Riverside","(33.7746292, -117.9463717)",California,Orange,Garden Grove,6059
367,San Francisco Bay ,Director of Corporate Engineering at Aurora,Director of Infrastructure - Datacenter and Networking at Wish,+ 1 more,BA,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
368,San Francisco Bay ,EVP Chief Financial Officer at The Clorox Company,VP Global Finance at The Clorox Company,University of Rochester - William E. Simon Graduate School of Business Administration,Finance,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
369,"San Francisco, California, United States",CEO and Co-founder at Rowan // Clean coat care for modern dogs,"Miss America (Vice President, GM/Head of North America + Global Head of People + Environment) at method products pbc",Northwestern University - Kellogg School of Management,Business Administration,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
370,"Fremont, California, United States","Senior Vice President, Technology Solutions at Excite Credit Union","Vice President, Information and Administration at Technology Credit Union",1997–2000,Business Administration,"University of California, Riverside","(37.5482697, -121.988571)",California,Alameda,Fremont,6001
371,"Ontario, California, United States",Senior Vice President Operations at HHS Construction - Congruex,Senior Staff Consultant at Verizon,"University of California, Riverside",Computer Science,"University of California, Riverside","(34.065846, -117.6484304)",California,San Bernardino,Ontario,6071
372,"Toulouse, Occitanie, France",Président & Co-fondateur | CEO at CreaSila,Manager Business Consulting - Energy Utilities Telecom & Media at CGI Business Consulting,TELECOM SudParis/TELECOM Ecole de Management,Ingénierie des Systèmes d'Information,"University of California, Riverside","(43.6044622, 1.4442469)",Occitanie,Haute-Garonne,Toulouse,
373,"New York, New York, United States","SVP, Marketing & Communications, Americas, dentsu Creative at dentsu international","VP, Marketing at R/GA",2002–2006,Sociology,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
374,San Francisco Bay ,Real Estate Agent at Side,"Marketing Manager at Keller Williams Realty, Inc.","University of California, Riverside",Business Administration/Marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
375,Singapore,Managing Director at Crown & Company,Executive Director at Aquis Search,"University of California, Riverside",Major in Finance and Accounting,"University of California, Riverside","(1.357107, 103.8194992)",,,,
376,"Providence, Rhode Island, United States",Managing Director at Accenture,"SVP Analytics, the Americas at Symphony EYC",2000–2002,GM/Marketing/Finance,"University of California, Riverside","(41.8239891, -71.4128343)",Rhode Island,Providence,Providence,44007
377,"Rialto, California, United States",President at KDC-Benchmark,"Vice President, R&D and Head of Scientific Affairs at Guthy|Renker",+ 1 more,Biology,"University of California, Riverside","(34.1064001, -117.3703235)",California,San Bernardino,,6071
378,"Burbank, California, United States","Director, Product and Engineering  at The Walt Disney Company","Senior Manager, Solution Architecture at The Walt Disney Company",California State University-Los Angeles,Marketing,"University of California, Riverside","(34.1816482, -118.3258554)",California,Los Angeles,Burbank,6037
379,"Aliso Viejo, California, United States",Director of Business Intelligence and Data Science at PlayStation,Director of Business Intelligence and Automation at CoreLogic,2007–2009,Business,"University of California, Riverside","(33.5761376, -117.7258122)",California,Orange,,6059
380,"Mission Viejo, California, United States","Director of Program Management, Operations Supply Chain at ICU Medical","R&D Manager, Program Management, Proprietary, IV Therapy and Critical Care Product Lines at ICU Medical",1993–1996,Biology,"University of California, Riverside","(33.5965685, -117.659405)",California,Orange,Mission Viejo,6059
381,"Tampa, Florida, United States",President at Texas Landscape Services,Senior Executive Corporate Sales at Polk Mechanical Company,"University of California, Riverside",,"University of California, Riverside","(27.9477595, -82.458444)",Florida,Hillsborough,Tampa,12057
382,,"Senior Manager, Business Development at Simpplr",Business Development Manager at NetSuite,"University of California, Riverside",Sociology,"University of California, Riverside",,,,,
383,"La Habra, California, United States",,Vice President of Marketing at Money Mailer,Chapman University,Business Administration (emphasis in Marketing),"University of California, Riverside","(33.9316066, -117.9454867)",California,Orange,,6059
384,"Seattle, Washington, United States",Co-Founder at PointStory,"Director, Marketplace Strategy at Content 26",1998–2002,Business Administration - Marketing,"University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,53033
385,"Chula Vista, California, United States",Marketing Director at GI Home Loans,AI Data Analyst at Cresta,"University of California, Riverside",Accounting,"University of California, Riverside","(32.6400541, -117.0841955)",California,San Diego,Chula Vista,6073
386,"San Diego, California, United States","Executive Director, Manufacturing Science and Technology at Halozyme Therapeutics, Inc.","Executive Director, Product Development at Halozyme Therapeutics, Inc.",UCR,,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
387,"Dallas, Texas, United States",Growth  at Gluent,Head of Business Development - Growth at OnPrem Solution Partners,"University of California, Riverside",Philosophy,"University of California, Riverside","(32.7762719, -96.7968559)",Texas,Dallas,Dallas,48113
388,San Francisco Bay ,Growth at Around,"Manager, Growth Marketing at Mixpanel",UC Riverside,Business Administration,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
389, Boston,"Vice President, Analytics at Sana Health",Digital Health Consultant at (independent),2004–2010,Cognitive Psychology,"University of California, Riverside","(42.3602534, -71.0582912)",Massachusetts,Suffolk,Boston,25025
