,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
266, Pittsburgh ,"Vice President, Franchise Development at Smoothie King (SKFI)",Vice President of Franchise Development at Qdoba Restaurant Corporation,1983–1987,Quantitative Business Analysis,Pennsylvania State,Smoothie King (SKFI),Qdoba Restaurant Corporation,,533110 Trademark licensing,,53,,,Real Estate and Rental and Leasing,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
267,New York City  ,"Director, Analytics & Insights at Spero Therapeutics",Novartis Strategy Office at Novartis,Penn State University,Strategic Planning,Pennsylvania State,Spero Therapeutics,Novartis,325412 Zinc oxide medicinal preparations manufacturing,522298 Short-term inventory credit lending,31-33,52,Manufacturing,69174.562,Finance and Insurance,40.712728,-74.006015,New York,,New York,36061
268, Harrisburg ,"Managing Member at Dwarvin Enterprises, Ltd.",Senior Project Manager at Pennsylvania American Water,Lebanon Valley College,Environmental Engineering Technology,Pennsylvania State,"Dwarvin Enterprises, Ltd.",Pennsylvania American Water,,221310 Water treatment plants,,22,,,Utilities,40.266311,-76.886112,Pennsylvania,Dauphin,Harrisburg,42043
269,"Bandera, Texas, United States",CEO at 3CM Multifamily,"Principal at Bollinger Properties, LTD",Penn State University,Quantitative Business Analysis w/ Economics minor,Pennsylvania State,3CM Multifamily,"Bollinger Properties, LTD",,,,,,,,29.764348,-99.234526,Texas,Bandera,,48019
270, Minneapolis-St. Paul ,"CEO at SecondWave Systems, Inc.",Consultant at Medtronic,2008–2010,Mechanical Engineering,Pennsylvania State,"SecondWave Systems, Inc.",Medtronic,,541611 Strategic planning consulting services,,54,,,"Professional, Scientific, and Technical Services",44.878019,-93.220928,Minnesota,Hennepin,Minneapolis,27053
271,"Miami, Florida, United States","Founder, CEO at WinkBeds",Attorney at Mendes & Mount,2008–2011,Law,Pennsylvania State,WinkBeds,Mendes & Mount,,541110 Tax law attorneys' private practices,,54,,,"Professional, Scientific, and Technical Services",25.774173,-80.19362,Florida,Miami-Dade,Miami,12086
272, Philadelphia,"Head of Operations and Technology, Health and Benefits North America at Willis Towers Watson","Senior Director, Growth Operations Leader Health & Benefits at Willis Towers Watson",Penn State University,Smeal College of Business,Pennsylvania State,Willis Towers Watson,Willis Towers Watson,"711510 Writers, independent (freelance)","711510 Writers, independent (freelance)",71,71,"Arts, Entertainment, and Recreation",51732.192,"Arts, Entertainment, and Recreation",39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
273,"Boston, Massachusetts, United States",Global eCommerce & Digital Consultant at Salsify,Senior Procurement Consultant at IBM,Penn State University,Supply Chain & Information Systems,Pennsylvania State,Salsify,IBM,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
275,"San Francisco, California, United States",Co-founder and CEO at Cultivate,"Lecturer, Software Product Management at UC Berkeley Extension",New York University - Leonard N. Stern School of Business,Industrial Engineering,Pennsylvania State,Cultivate,UC Berkeley Extension,311511 Yogurt (except frozen) manufacturing,,31-33,,Manufacturing,69174.562,,37.779026,-122.419906,California,,San Francisco,06075
276,"Carlsbad, California, United States",Founder / CEO at Epik Systems,VP of Engineering at Nuvve Corp.,Penn State University,Information Sciences and Technology,Pennsylvania State,Epik Systems,Nuvve Corp.,,,,,,,,33.158093,-117.350597,California,San Diego,Carlsbad,06073
277,"Nashville, Tennessee, United States",Founder & CEO at AffirmHealth,Managing Director at NC2 Media,Vanderbilt University - Owen Graduate School of Management,"Strategy & Operations, Entrepreneurship",Pennsylvania State,AffirmHealth,NC2 Media,,,,,,,,36.162277,-86.774298,Tennessee,Davidson,Nashville-Davidson,47037
278,"West Chester, Pennsylvania, United States",Chief Operations Officer at OMEGA Engineering,VP Global Operations & Product Management at OMEGA Engineering,Carnegie Mellon - Tepper School of Business,"Strategy, Finance, Operations",Pennsylvania State,OMEGA Engineering,OMEGA Engineering,323111 Yearbooks commercial printing (except screen) without publishing,,31-33,,Manufacturing,69174.562,,39.959721,-75.605964,Pennsylvania,Chester,,42029
279,"Spokane, Washington, United States",Founder & CEO at JAX Consulting,Senior Director of Delivery & Solution Architecture at ForecastEra,Penn State University,Software Engineering,Pennsylvania State,JAX Consulting,ForecastEra,,,,,,,,47.657193,-117.423511,Washington,Spokane,Spokane,53063
280,New York City  ,"Vice President, Digital Engagement & Service Transformation at Charter Communications",Head of Information Technology at Altice USA,Pace University,Computer Science,Pennsylvania State,Charter Communications,Altice USA,517911 Wireless telecommunication resellers (except satellite),,51,,Information,73855.595,,40.712728,-74.006015,New York,,New York,36061
281,"Seattle, Washington, United States",Director Of Technology at projekt202,"Vice President Of Technology at Ideoclick, Inc.",Education (same page),,Pennsylvania State,projekt202,"Ideoclick, Inc.","541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,47.603832,-122.330062,Washington,King,Seattle,53033
283,"Arlington, Virginia, United States",President & CEO at InVita Healthcare Technologies,President & CEO at HemaTerra Technologies,Pennsylvania State University-State College,Business,Pennsylvania State,InVita Healthcare Technologies,HemaTerra Technologies,,,,,,,,38.890396,-77.084158,Virginia,Arlington,Arlington,51013
284,New York City  ,"CEO | Co-Founder at Teed & Brown, Inc.",Columnist at The Lawn Coach,NYU Stern School of Business,Leadership and Change Management / Marketing,Pennsylvania State,"Teed & Brown, Inc.",The Lawn Coach,,,,,,,,40.712728,-74.006015,New York,,New York,36061
285,"Kirkland, Washington, United States",CEO at PRISM™ Worldwide,CEO at Golds Pure Foods LLC,Penn State University,"Business, Management, Marketing, and Related Support Services",Pennsylvania State,PRISM™ Worldwide,Golds Pure Foods LLC,"326299 Thread, rubber (except fabric covered), manufacturing",,31-33,,Manufacturing,69174.562,,47.685957,-122.192025,Washington,King,,53033
286,"Chattanooga, Tennessee, United States",Founder & Chief Strategy Officer at Skuid,Founder and CEO at Skuid,2005–2008,Photography,Pennsylvania State,Skuid,Skuid,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,35.045722,-85.309488,Tennessee,Hamilton,Chattanooga,47065
287,"New York, New York, United States","Executive Director, Corporate Technology at WebMD",Sr. Director Project Management at WebMD,Penn State University,Mathematics,Pennsylvania State,WebMD,WebMD,519190 Title search services (except real estate),,51,,Information,73855.595,,40.712728,-74.006015,New York,,New York,36061
288,New York City  ,Chief Information Officer at Ralph Lauren,Member Of The Board Of Advisors at Backcountry.com,University of Southern California,Organizational Change and Leadership,Pennsylvania State,Ralph Lauren,Backcountry.com,"315220 Work shirts, men's and boys', cut and sewn from purchased fabric (except apparel contractors)",,31-33,,Manufacturing,69174.562,,40.712728,-74.006015,New York,,New York,36061
289,Los Angeles  ,Chief Operating Officer at Caldera Medical,Vice President Business Development at Zyomed Corp.,Lehigh University - College of Business and Economics,Business Logistics (Supply Chain Management),Pennsylvania State,Caldera Medical,Zyomed Corp.,339112 Veterinarians' instruments and apparatus manufacturing,,31-33,,Manufacturing,69174.562,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
290,"Pittsburgh, Pennsylvania, United States","Chief Operating Officer, Corporate Responsibility Group at PNC",Chief Counsel at PNC,Stanford Law School,American Studies and Media Studies,Pennsylvania State,PNC,PNC,522110 State commercial banks,,52,,Finance and Insurance,80163.492,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
291,"Seattle, Washington, United States","Chief Operating Officer at Adswerve, Inc.","Chief Services Officer at Adswerve, Inc.",2004–2007,Marketing,Pennsylvania State,"Adswerve, Inc.","Adswerve, Inc.","541519 Software installation services, computer","541519 Software installation services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",47.603832,-122.330062,Washington,King,Seattle,53033
292,"Houston, Texas, United States",Chief Executive Officer at ShearFRAC™,Chief Operating Officer at Shear Frac,Penn State University,"Geology/Earth Science, General",Pennsylvania State,ShearFRAC™,Shear Frac,,,,,,,,29.758938,-95.367697,Texas,Harris,Houston,48201
293,"Pittsburgh, Pennsylvania, United States",Co-Founder at AdSkate Inc,Sr. Campaign Ops Analyst at GTB,Northeastern University,"Finance, General",Pennsylvania State,AdSkate Inc,GTB,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
294,"Danbury, Connecticut, United States",Director External Innovation at Boehringer Ingelheim,"Director of External Innovation, Research Beyond Borders division at Boehringer Ingelheim",1996–1998,Chemistry,Pennsylvania State,Boehringer Ingelheim,Boehringer Ingelheim,424210 Vitamins merchant wholesalers,,42,,Wholesale Trade,68623.359,,41.394817,-73.454011,Connecticut,Fairfield,Danbury,09001
295,"San Diego County, California, United States",Co-Founder at LEEWAY,Information Technology Security Analyst at Millennium Health,Wilmington University,,Pennsylvania State,LEEWAY,Millennium Health,237990 Wharf construction,,23,,Construction,64648.972,,32.963784,-116.770628,California,San Diego,,06073
296,"Knoxville, Tennessee, United States",Executive Vice President and Chief Operating Officer at Tennessee Valley Authority at Tennessee Valley Authority,"Executive Vice President, Nuclear Division and Chief Nuclear Officer at NextEra Energy, Inc.",2003–2005,Business Administration,Pennsylvania State,Tennessee Valley Authority,"NextEra Energy, Inc.","221118 Power generation, tidal electric",,22,,Utilities,84207.831,,35.960395,-83.921026,Tennessee,Knox,Knoxville,47093
297,"Fort Lauderdale, Florida, United States",Vice President of Member Experience Operations / Contact Center Operations at NationsBenefits,Director of Member Experience Operations / Contact Center Operations at NationsBenefits,1982–1987,Hospitality: Human Development,Pennsylvania State,NationsBenefits,NationsBenefits,"524292 Pension fund, third party administrative services",,52,,Finance and Insurance,80163.492,,26.122308,-80.143379,Florida,Broward,Fort Lauderdale,12011
298,"Pompano Beach, Florida, United States","Chief Operating Officer, HCA Florida Woodmont at HCA Healthcare","Chief Operating Officer, Supply Chain - East Florida Division at HealthTrust Purchasing Group",University of Indianapolis,Global Supply Chain/ Organizational Leadership,Pennsylvania State,HCA Healthcare,HealthTrust Purchasing Group,622110 Osteopathic hospitals,,62,,Health Care and Social Assistance,76373.049,,26.23786,-80.124767,Florida,Broward,Pompano Beach,12011
299,"State College, Pennsylvania, United States","CTO, Co-Founder at Blockade Games",Open Source Developer at 10K Pizza,Penn State University,Computer Science,Pennsylvania State,Blockade Games,10K Pizza,,,,,,,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
300,"Bethesda, Maryland, United States","CEO at Diverse Systems Group, LLC",Co-Chair at AFCEA,+ 1 more,Marketing/Biology,Pennsylvania State,"Diverse Systems Group, LLC",AFCEA,"541513 Facilities (i.e., clients' facilities) support services, computer systems or data processing",,54,,"Professional, Scientific, and Technical Services",77645.346,,38.981273,-77.123359,Maryland,Montgomery,Bethesda,24031
301,"Baltimore City County, Maryland, United States",Chief Technology Officer at Parsons Corporation,Senior Vice President Solutions at Parsons Corporation,1996–2000,,Pennsylvania State,Parsons Corporation,Parsons Corporation,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,39.346177,-76.644267,Maryland,,Baltimore,24005
302, Boston,Vice President Marketing & Business Development Representatives at Salsify,Head Global Demand Generation Marketing (previously Crimson Hexagon) at Brandwatch,Education (same page),"Communications, Philosophy",Pennsylvania State,Salsify,Brandwatch,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
303,"Holliston, Massachusetts, United States",Director of Global Supply Chain at Sarepta Therapeutics,Compliance Professional Trade and Logistcs at Pfizer,University of Illinois at Chicago,"Finance, Entrepreneurship",Pennsylvania State,Sarepta Therapeutics,Pfizer,,,,,,,,42.200097,-71.424505,Massachusetts,Middlesex,,25017
