current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
"Timnath, Colorado, United States",eCommerce Category Manager at RITE AID,eCommerce Merchandising Manager at RITE AID,UC Riverside,"Business Administration, Marketing","University of California, Riverside",
"Carlsbad, California, United States",CEO at Blue Rock Software,Advisor at JetHead,1996–1998,,"University of California, Riverside",
"Pasadena, California, United States","Director, Strategic Growth Partnerships at BigCommerce",Head of Global Partnerships at nocnoc,"University of California, Riverside","Business Admin, Marketing, Management Science","University of California, Riverside",
"San Francisco, California, United States",Founder & CEO at The On Demand Company,Manager at Discover Financial Services - Discover Home Loans,"University of California, Riverside",Finance,"University of California, Riverside",
"Oakland, California, United States",Founder and CEO at Urban Health Group Inc.,Licensed Clinical Social Worker at Kaiser Permanente,California State University - East Bay,Social Work,"University of California, Riverside",
"Irvine, California, United States",Senior Vice President of Development & Construction at Begonia Real Estate Development LLC,"Senior Development Manager at Boos Development Group, Inc.",+ 1 more,"Real Estate, Finance & Law / Strategy & Entrepreneurship","University of California, Riverside",
"Modesto, California, United States",President & Chief Executive Officer at Valley First Credit Union,President & Chief Executive Officer at BALANCE Financial Fitness,Chapman University,,"University of California, Riverside",
Los Angeles Metropolitan Area,Founder & CEO at iinventt,Executive Director of Manufacturing at Idea Planet,"University of California, Riverside","Finance, General","University of California, Riverside",
"Berlin, Berlin, Germany",Co-Founder & CEO at Ontat,Founder at GeistUp,University of Cologne,Corporate Finance,"University of California, Riverside",
"Seattle, Washington, United States",Machine Learning Engineer II at Expedia Group,Visiting Reseach Assitant at Virginia Tech,"University of California, Riverside",Computer Science,"University of California, Riverside",
"Madrid, Community of Madrid, Spain",Founder at Viral Projects,Sales Excellence Intern at iwoca,"University of California, Riverside",Management,"University of California, Riverside",
Greater Sacramento,"President/CEO at Public Sector Search & Consulting, Inc.",Senior Consultant at Ralph Andersen & Associates,"John F. Kennedy University, School of Law",Law,"University of California, Riverside",
"Moreno Valley, California, United States",Chief Information Officer at Riverside University Health System,Chief Information Officer at San Joaquin General Hospital,Cal State Long Beach,Health Care Administration,"University of California, Riverside",
Argentina,"Procurement Cluster Head _ Rare diseases, Oncology and Inmunology (RDOI)  at Sanofi",Procurement Director  _ South Cone at Sanofi,University of Warwick - Warwick Business School,"Fontembleau, France","University of California, Riverside",
"Corona, California, United States","VP, Security Administrator II at Pacific Premier Bank",Information Security Analyst at University of Southern California,University of Phoenix,"Information Technology, Database Management","University of California, Riverside",
"Pasadena, California, United States",Chief Operating Officer at Tierzero,Controller at Tierzero,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside",
"Pasadena, California, United States",Chief Brand Officer at Auntie Anne's LLC,Vice President Marketing at IHOP,"University of California, Riverside",Business Administration & Art History,"University of California, Riverside",
"Burbank, California, United States","Director, Media and Digital Marketing at Warner Bros. Entertainment","Director, Media Traffic at Warner Bros. Entertainment","University of California, Riverside",Creative Writing,"University of California, Riverside",
"Kailua, Hawaii, United States",Chief Information Security Officer at State of Hawaii,Enterprise Architect at Hawaiian Telcom,1992–1996,,"University of California, Riverside",
United States,Vice President Marketing at SiO Beauty,Senior Director Of Marketing at skyn ICELAND,"University of California, Riverside",,"University of California, Riverside",
"Orange County, California, United States","Director of Marketing, Retail and eCommerce  at IPS Corporation",Director of Marketing and Sales (Acquired by IPS Corp April 2019) at T. Christy Enterprises,California State University-San Bernardino,Marketing,"University of California, Riverside",
"Los Angeles, California, United States",Chief Executive Officer & Zoo Director at Los Angeles Zoo and Botanical Gardens,Interim Zoo Director at Los Angeles Zoo and Botanical Gardens,1984–1988,Business Administration,"University of California, Riverside",
Los Angeles Metropolitan Area,"Interim Associate Vice Chancellor and Chief Information Officer at University of California, Riverside","Associate Director/Senior Program Manager, Demand & Premium Services at University of California, Riverside","University of California, Riverside",Philosophy,"University of California, Riverside",
"Tulsa, Oklahoma, United States",President & CEO at CommunityCare,"Interim President & CEO, SVP/CFO at CommunityCare","University of California, Riverside",Statistics,"University of California, Riverside",
"New York, New York, United States",VP Ecommerce & Digital Marketing at Rebecca Minkoff,Director of Ecommerce & Digital Marketing  at Rebecca Minkoff,New York University,Integrated Marketing,"University of California, Riverside",
"New York, New York, United States",Regional Vice President Of Operations at Stop & Shop,Director Of Operations Org Change Management  at 7-Eleven,Baylor University - Hankamer School of Business,"Business Administration and Management, General","University of California, Riverside",
"Boston, Massachusetts, United States","Executive Director, Digital Transformation at Northeastern University","Assistant Vice President, Online Experiential Learning at Northeastern University","Birkbeck, U. of London",English,"University of California, Riverside",
"Cambridge, Massachusetts, United States","Clinical Data Scientist, HEOR, Clinical Computational Science at EQRx","Associate Research Scientist, Precision HEOR at Precision Medicine Group",Harvard University,Environmental Health (Concentration: Risk and Decision Sciences),"University of California, Riverside",
"Brea, California, United States","Senior Manager, Cloud Automation at BlackLine","Manager, Cloud Automation at BlackLine",1999–2004,Computer Science,"University of California, Riverside",
"Bellevue, Washington, United States",President at Sales Talent Inc.,Branch Manager at Culver Careers,"University of California, Riverside",Business Administration,"University of California, Riverside",
