current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
Atlanta  ,Owner at Amusement Masters at Amusement Masters,CFO / Managing Partner at Sierra Horizons,Georgia State University,Finance,"University of California, Riverside",Amusement Masters,Sierra Horizons,,,,,,,,33.748992,-84.390264,Georgia,Fulton,Atlanta,13121
Los Angeles  ,"Product Marketing at MSI - Micro-Star International Co., Ltd.",Merchandise Planner at Newegg,"University of California, Riverside",Media Studies; Linguistics (Double Major),"University of California, Riverside","MSI - Micro-Star International Co., Ltd.",Newegg,,443142 Video tape stores,,44-45,,,Retail Trade,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,Talent Acquisition - West Division  at PepsiCo,Sourcing Specialist/Recruiting Specialist (Remote) at The Clorox Company,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",PepsiCo,The Clorox Company,311230 Wheat breakfast cereal manufacturing,325320 Xanthone insecticides manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,,,,,,nan
"Los Angeles, California, United States",Vice President at Dimensional Fund Advisors,Regional Director at Dimensional Fund Advisors,"University of California, Los Angeles - The Anderson School of Management",,"University of California, Riverside",Dimensional Fund Advisors,Dimensional Fund Advisors,"525910 Mutual funds, open-ended","525910 Mutual funds, open-ended",52,52,Finance and Insurance,80163.492,Finance and Insurance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Orange County, California, United States","Senior Category Marketing Manager at Pulmuone Foods USA, Inc.","Senior Category Manager - Coated Appetizers at Ajinomoto Foods North America, Inc.","University of California, Irvine - The Paul Merage School of Business",Business Strategy/Marketing,"University of California, Riverside","Pulmuone Foods USA, Inc.","Ajinomoto Foods North America, Inc.",311224 Vegetable oils made in crushing mills,"311411 Vegetables, frozen, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,33.750038,-117.870493,California,Orange,,06059
Los Angeles  ,"Managing Director, Vice President - International Executive General Adjuster  at Crawford & Company",Executive General Adjuster  at McLarens,"University of California, Riverside",Sociology,"University of California, Riverside",Crawford & Company,McLarens,524126 Workers' compensation insurance underwriting,488510 Shipping agents (freight forwarding),52,48-49,Finance and Insurance,80163.492,Transportation and Warehousing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Austin, Texas, United States",Commercial Account Executive at Confluent,"User Success, Commercial - AMER & LATAM at Confluent","University of California, Riverside",Electrical and Electronics Engineering,"University of California, Riverside",Confluent,Confluent,"423450 X-ray machines and parts, medical and dental, merchant wholesalers","423450 X-ray machines and parts, medical and dental, merchant wholesalers",42,42,Wholesale Trade,68623.359,Wholesale Trade,30.271129,-97.7437,Texas,Travis,Austin,48453
New York City  ,"Senior Manager, Talent Marketing & Employer Brand  at AT&T",Social Media & Recruitment Marketing Specialist at DIRECTV,University of Southern California Annenberg School for Communication and Journalism,Marketing Communication,"University of California, Riverside",AT&T,DIRECTV,517312,517312,51,51,Information,73855.595,Information,40.712728,-74.006015,New York,,New York,36061
"Hinsdale, Illinois, United States",Vice President of Sales - Central Area at Cato Networks,Sr. Director - SDWAN and SASE Sales at Citrix,Gies College of Business - University of Illinois Urbana-Champaign,"Business Administration and Management, General","University of California, Riverside",Cato Networks,Citrix,"541511 Web (i.e., Internet) page design services, custom","511210 Utility software, computer, packaged",54,51,"Professional, Scientific, and Technical Services",77645.346,Information,41.80246,-87.929984,Illinois,DuPage,,17043
"Riverside, California, United States",Product Specialist at EtherWAN Systems Inc. Americas,Product Management Intern at EtherWAN Systems Inc,"University of California, Riverside",Computer Engineering,"University of California, Riverside",EtherWAN Systems Inc. Americas,EtherWAN Systems Inc,,334419 Vacuum tubes manufacturing,,31-33,,,Manufacturing,33.945941,-117.410244,California,Riverside,Riverside,06065
United States,"Senior Diversity, Inclusion, and Belonging Program Coordinator at Okta, Inc.","Lead, POC@Okta Learning and Development Committee at Okta, Inc.",2013–2016,Psychology,"University of California, Riverside","Okta, Inc.","Okta, Inc.","541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",39.78373,-100.445882,,,,nan
San Francisco Bay ,"Director, Business Operations at Exabeam","Director, Global GTM & Strategy at Forescout Technologies Inc.","University of California, Riverside",,"University of California, Riverside",Exabeam,Forescout Technologies Inc.,"541519 Software installation services, computer","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",37.714029,-122.307794,California,San Mateo,,06081
,UX Designer at Coupa Software,User Experience Intern at Coupa Software,"California State University, Long Beach",Human Experience Design Interactions,"University of California, Riverside",Coupa Software,Coupa Software,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,,,,,,nan
"San Francisco, California, United States",Business Banking Relationship Manager at U.S. Bank,Business Commercial Lending/ Business Banking / Equipment Loan Specialist / Relationship Manager at U.S. Bank,University of Oregon - Charles H. Lundquist College of Business,Business/Managerial Economics,"University of California, Riverside",U.S. Bank,U.S. Bank,522110 State commercial banks,522110 State commercial banks,52,52,Finance and Insurance,80163.492,Finance and Insurance,37.779026,-122.419906,California,,San Francisco,06075
,Senior Writer at UC Irvine Donald Bren School of Information and Computer Sciences,"Director, Human Resources & Outsourcing at Shores Editorial Services",1995–1997,"English Language and Literature, General","University of California, Riverside",UC Irvine Donald Bren School of Information and Computer Sciences,Shores Editorial Services,,,,,,,,,,,,,nan
Los Angeles  ,,Credit Analyst at Centerstone SBA Lending,"University of California, Riverside","Finance, General","University of California, Riverside",,Centerstone SBA Lending,,522298 Short-term inventory credit lending,,52,,,Finance and Insurance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Owner at Exodus Investments LLC,Private Equity Analyst at Founder Legacy Partners,"University of California, Riverside",Economics,"University of California, Riverside",Exodus Investments LLC,Founder Legacy Partners,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Los Angeles, California, United States",Chief Executive Officer at CareerGeekED: For PepTalks Daily,Executive Board Member at TEACH Charter Schools,Loyola Marymount University,Pupil Personnel Services Credential,"University of California, Riverside",CareerGeekED: For PepTalks Daily,TEACH Charter Schools,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Houston, Texas, United States",Cybersecurity Engineer-OT at Dexcom,Senior Cybersecurity Engineer-Global OT at McKesson,University of the Cumberlands - Graduate and Online Programs,Information Systems Security,"University of California, Riverside",Dexcom,McKesson,339112 Veterinarians' instruments and apparatus manufacturing,"511210 Utility software, computer, packaged",31-33,51,Manufacturing,69174.562,Information,29.758938,-95.367697,Texas,Harris,Houston,48201
,,Business Analyst at 7EDU Impact Academy,Northeastern University,Information System,"University of California, Riverside",,7EDU Impact Academy,,,,,,,,,,,,,nan
"Los Angeles, California, United States","Process Development Manager at A2 Biotherapeutics, Inc.","Senior Process Engineer at A2 Biotherapeutics, Inc","University of California, Riverside",Bioengineering,"University of California, Riverside","A2 Biotherapeutics, Inc.","A2 Biotherapeutics, Inc",,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Mountain View, California, United States",Principal Group Program Manager at Microsoft,Senior Director Product Marketing at eBay,1999–2001,Computer Science,"University of California, Riverside",Microsoft,eBay,519190 Title search services (except real estate),454110,51,44-45,Information,73855.595,Retail Trade,37.389389,-122.08321,California,Santa Clara,Mountain View,06085
"Murrieta, California, United States",West Coast Sr. Regional Contract Maintenance Manager at Intelligrated,Corporate Facilities Maintenance Manager at Newegg Inc.,"University of California, Riverside",Facilites Management,"University of California, Riverside",Intelligrated,Newegg Inc.,"541511 Web (i.e., Internet) page design services, custom",443142 Video tape stores,54,44-45,"Professional, Scientific, and Technical Services",77645.346,Retail Trade,33.577752,-117.188454,California,Riverside,Murrieta,06065
Unknown,Senior Manufacturing Engineer at Roche,Process Engineer at MICRO,"University of California, Riverside",Bioengineering and Biomedical Engineering,"University of California, Riverside",Roche,MICRO,522298 Short-term inventory credit lending,811212 Typewriter repair and maintenance services,52,81,Finance and Insurance,80163.492,Other Services (except Public Administration),25.029422,-77.361956,,,New Providence,nan
