,current_location,current_work,previous_work,latest_Education,major,search_school
915,"Santa Barbara, California, United States",Advisor at Insight Partners,"SVP, Global Head of Marketing at Procore Technologies",2006–2008,,Brown University
916,"New York, New York, United States",Director | Infrastructure Finance - Americas at ING,Vice President - Infrastructure and PPPs at Siemens,Columbia Business School,,Brown University
917,Greater Chicago Area,Chief Executive Officer at Calamos Investments,Member Board of Directors at Mizuho Securities USA Inc.,Brown University,International Diplomacy & Foreign Affairs and Economics,Brown University
918,"New York, New York, United States",Head of Business Development & Strategic Partnerships at Rockefeller Capital Management,Chief Marketing Officer at Rockefeller Capital Management,"New York University, Stern School of Business",Finance,Brown University
919,"Philadelphia, Pennsylvania, United States","Founder and Medical Director at Voyage Healing, PC: a Ketamine and Psychedelic Clinic",,Brown University,,Brown University
920,"San Francisco, California, United States","Chief Executive Officer at Advantage Foundry Network, LLC (AFN)","COO at MedLever, Inc.",The Tuck School of Business at Dartmouth,Public Policy,Brown University
921,Berlin Metropolitan Area,"Division Director, B2C Client Services at ERGO Technology & Services",Senior Product Integrity Program Manager at ERGO Digital IT,Harvard University,History & Middle East Area Studies,Brown University
922,"Oakland, California, United States",Owner / Attorney at Law Office of Steven Chizen,Associate Litigation Attorney at Wilson Sonsini Goodrich & Rosati,"University of California, Berkeley - School of Law",History,Brown University
923,"Phoenix, Arizona, United States",Vice President Business Intelligence at Phoenix Suns,Director of Business Intelligence at Pollen,Brown University,Neuroscience,Brown University
924,"Brooklyn, New York, United States",Head of Brand Engagement at Verizon,Consulting Head of Marketing at SHHHOWERCAP,Brown University,,Brown University
925,New York City Metropolitan Area,Accelerator Manager at Cypher Accelerator,VC MBA Intern at Avanta Ventures,The Wharton School,Applied Mathematics/Economics,Brown University
926,"Atlanta, Georgia, United States",Partner at ON Search Partners,Principal at Parker Executive Search,University of North Carolina at Chapel Hill - Kenan-Flagler Business School,General Management,Brown University
927,"Atlanta, Georgia, United States",Partner at ON Search Partners,Principal at Parker Executive Search,University of North Carolina at Chapel Hill - Kenan-Flagler Business School,,Brown University
928,"Chicago, Illinois, United States","SVP Director, Analytics at Starcom","SVP Director, Analytics at Cramer-Krasselt",Stanford University,Sociology,Brown University
929,"Boston, Massachusetts, United States",Vice President and General Counsel at SimpliSafe,Vice President and Deputy General Counsel at SharkNinja,Boston College Law School,Russian Language & Literature,Brown University
930,United States,Head of Finance and BizOps at Gather,"Strategic Finance, New Business Verticals at DoorDash",Brown University,Applied Mathematics-Economics,Brown University
931,"Nice, Provence-Alpes-Côte d'Azur, France",,Chief Marketing Officer at Babbel,Brown University,History,Brown University
932,Washington DC-Baltimore Area,Media Sales Consultant at NextUp Partners LLC,"Sr. Sales Director, Corporate Partnerships at ExecOnline, Inc.",Brown University,Organizational Behavior & Management,Brown University
933,500+ connections,Executive Director at Ed Kaplan Family Institute for Innovation and Tech Entrepreneurship,"Advisor at Machinify, Inc.",2006–2011,Computational Neuroscience,Brown University
934,"Denver, Colorado, United States","VP Food Service, Deli, Alternative Channels at Hatcheri Foods",VP Direct Sales and Alternative Channels at Hatcheri Foods,Brown University,,Brown University
935,"Los Angeles, California, United States",Head Of Communications at Playbook,Public Relations & VIP Coordinator at Saint Laurent,Brown University,Modern Culture and Media: Critical Theory,Brown University
936,"Los Altos, California, United States",Syndicate Co-Lead / Investor at MKT1,VP of Marketing & Operations at Scalyr,2003–2007,"Political Science, History",Brown University
937,"San Francisco, California, United States",Founder at Link - Electric Driving Made Easy,Co-Chair at Clean Energy for Biden,Education (same page),International Development,Brown University
938,"Los Angeles, California, United States",Grinding at Stealth Startup,Founder & Executive at Independent,Stanford University Graduate School of Business,Economics,Brown University
939,"Toronto, Ontario, Canada",Principal at Avison Young,Vice President at Cushman & Wakefield,McMaster University,Finance,Brown University
940,"New York, New York, United States","Vice President, Healthcare-Global at Genpact",Vice President of Sales- North America and South America at Microsoft,Columbia University in the City of New York,Health Policy And Managaement,Brown University
941,"Charlottesville, Virginia, United States",Co-Founder | Managing Principal at Wellness Real Estate Partners,Co-Founder | President at IntelliStay Hospitality Management LLC,+ 2 more,Corporate Finance,Brown University
942,"New York, New York, United States",Investor at Stripes,Investor at AXA Venture Partners (AVP),Brown University,"Economics, Political Science",Brown University
943,"Mountain View, California, United States",CEO & Co-founder at Luminary Cloud,Entrepreneur In Residence (EIR) at Sutter Hill Ventures,Brown University,Computer Science,Brown University
944,"San Francisco, California, United States",President & Founder at Evolve Development Group,Project Manager at G&D Construction,Massachusetts Institute of Technology,Psychology,Brown University
945,"Providence, Rhode Island, United States",Chief Technology Officer at ACTEGA,Head of Program Management - ACTEGA NA Technologies (Acquired from NuLabel) at ACTEGA,Brown University Graduate School,Biotechnology,Brown University
946,San Francisco Bay Area,Chief Marketing Officer / Chief Growth Officer at Chief Outsiders,"Executive Strategy Consultant, Fractional CMO & CEO at Innovate Strategy Group",Stanford University Graduate School of Business,"Marketing, Strategy, Entrepreneurship",Brown University
947,"San Francisco, California, United States",Founder/CEO at Kinetic Eye,"Director of Product Management, Autonomous Driving Platform, Services, and Insurance at NIO",2000–2004,"Computer Science, Artificial Intelligence",Brown University
948,"Los Angeles, California, United States",Founder & CEO at Atticus,"Summer Associate at Munger, Tolles & Olson LLP",Stanford University Law School,Economics & American History,Brown University
949,Greater Boston,CEO / Co-Founder at einblick analytics,Postdoctoral Associate at MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),Brown University,Computer Science,Brown University
950,"New York, New York, United States",Founder at 305 Fitness,,Brown University,Economics,Brown University
951,Greater Boston,VP of Engineering at Emissary.io,VP of Product Development at Centage,Brown University,Computer Science,Brown University
952,"San Francisco, California, United States",Co-founder and CEO at Marley Medical,Chief Commercial Officer at Propeller Health,2001–2003,"Strategy, Entrepreneurship, Finance",Brown University
953,"Miami, Florida, United States","Director of Technology and Innovation at Bascom Palmer Eye Institute, Samuel and Ethel Balkan International Pediatric Glaucoma Center",CEO & Co-Founder at Joule.ai,Brown University,Applied Mathematics,Brown University
954,"New York, New York, United States",CEO at Revo,CEO/Owner at B. Robinson LLC,1988–1992,,Brown University
955,"San Diego County, California, United States",President at Nixon,"VP, Marketing at Nixon",+ 1 more,American Civilization,Brown University
956,New York City Metropolitan Area,CEO & Co Founder at QUINN,Co-Founder at OKMYOUTFIT,Brown University,Business Economics,Brown University
957,Greater Boston,"Chief Marketing Officer at Appcast, Inc","VP, Marketing at Gartner",Brown University,,Brown University
958,Metro Jacksonville,"Senior Vice President, Brand and Growth Marketing at VyStar Credit Union","Vice President Marketing at Nivel Parts and Manufacturing, LLC",Columbia Business School,"Business Administration and Management, General",Brown University
959,"Bend, Oregon, United States",Founder + CEO at Wayfinder,Lecturer at Stanford University,Brown University,,Brown University
960,"Redwood City, California, United States",CEO at RepairPal,"Board Member, Lead Director at Insikt",Stanford University Graduate School of Business,Mathematical Economics,Brown University
961,"New York, New York, United States",Founder and CEO at RF|Binder Partners,Partner at Ruder Finn Group,Columbia University - Columbia Business School,Business,Brown University
962,"Burlington, Vermont, United States",Chief Strategy Officer (CSO) at Burton Snowboards,Senior Vice President - Global Strategy & Insights at Burton Snowboards,Brown University,International Relations- Political Economy of Development,Brown University
